Genus,403_DC,403_DL,405_DC,405_DL,407_DC,407_DL,408_DC,408_DL,411_DC,411_DL,412_DC,412_DL,414_DC,414_DL,420_DC,420_DL,425_DC,425_DL,427_DC,427_DL,428_DC,428_DL,431_DC,431_DL,432_DC,432_DL,433_DC,433_DL,437_DC,437_DL,438_DC,438_DL,439_DC,439_DL,444_DC,444_DL,449_DC,449_DL,450_DC,450_DL,451_DC,451_DL,452_DC,452_DL,456_DC,456_DL,459_DC,459_DL,461_DC,461_DL,463_DC,463_DL,464_DC,464_DL,465_DC,465_DL,466_DC,466_DL,471_DC,471_DL,472_DC,472_DL,475_DC,475_DL,476_DC,476_DL,478_DC,478_DL,481_DC,481_DL,482_DC,482_DL,484_DC,484_DL,485_DC,485_DL,489_DC,489_DL,495_DC,495_DL,500_DC,500_DL,505_DC,505_DL,509_DC,509_DL,510_DC,510_DL,515_DC,515_DL,517_DC,517_DL,518_DC,518_DL,519_DC,519_DL,521_DC,521_DL,522_DC,522_DL,524_DC,524_DL,528_DC,528_DL,532_DC,532_DL,534_DC,534_DL,535_DC,535_DL,536_DC,536_DL,538_DC,538_DL,541_DC,541_DL,542_DC,542_DL,547_DC,547_DL,548_DC,548_DL,549_DC,549_DL,553_DC,553_DL,555_DC,555_DL,562_DC,562_DL,564_DC,564_DL,568_DC,568_DL,571_DC,571_DL,572_DC,572_DL,573_DC,573_DL,577_DC,577_DL,578_DC,578_DL,579_DC,579_DL,580_DC,580_DL,584_DC,584_DL,590_DC,590_DL,592_DC,592_DL
Lawsonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,63,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
Listeria,7,0,9,70,0,7,11,60,0,12,7,110,0,0,0,10,13,9,12,15,7,0,16,6,12,31,12,8,13,3,4,0,24,3,4,93,8,7,7,9,20,15,8,179,11,0,15,78,21,0,0,0,0,6,12,10,5,24,0,14,18,28,0,23,0,0,16,282,16,3261,8,6,7,6,8,8,7,11,34,0,0,0,16,15,0,10,14,18,0,9,7,14,9,25,12,11,11,3,10,0,16,11,8,33,0,10,6,13,9,0,9,13,11,10,11,6,13,25,7,0,0,6,0,0,0,12,14,13,9,8,13,0,4,0,8,0,10,0,9,259,8,0,0,18,11,0,10,15,0,0,0,17,13,10
Marvinbryantia,45,0,72,9,0,3,0,0,177,154,65,0,43,82,76,20,0,0,26,266,92,0,0,0,259,67,1018,0,43,0,0,19,45,0,116,77,8,101,0,161,0,0,197,0,73,0,3,0,0,0,196,0,0,0,48,0,17,0,15,8,0,0,0,0,18,4,0,0,353,79,70,14,21,0,38,0,414,157,17,13,0,0,0,0,46,0,45,0,0,0,59,0,0,0,40,0,18,77,0,0,0,0,97,26,179,0,93,174,0,0,23,65,0,0,0,0,0,5,27,0,13,0,0,0,43,0,70,0,6,0,16,0,16,0,16,73,0,0,19,0,0,0,0,0,0,0,146,310,0,0,13,0,173,0
Micrococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monoglobus,16,0,24,0,0,0,0,0,0,0,0,0,0,6,19,0,0,0,0,38,57,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,40,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,109,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,77,0,0,5,0,0,0,0,0,77,0
Mucispirillum,7,6,21,55,226,9,10,239,13,89,20,26,6,15837,7,29,340,105,2595,19613,11,176,15,2100,584,5767,27,10,22,38,361,12842,50,49,132,44,28,3188,343,19973,0,77,14,4,797,327,105,92,30,7,9,87,7,546,0,5,0,107,24,83,4,63,9,48,0,0,4,429,21,3,7,1269,12,20,16,0,21,276,34,784,9,0,16,10,21,0,12,13,9,22,5,27,7,67,11,50,100,353,8,0,70,600,14,161,105,848,13,10,7,400,10,9,21,82,9,182,10,66,10,6,9,145,4,71,6,113,16,10,233,130,12,5,422,5607,4,0,26,207,21,10,5,8,0,31,330,682,504,1112,10,0,180,83,17,190
Muribaculaceae,29344,319,4560,1261,714,682,2779,513,28043,1953,3162,409,5588,3875,10654,1487,456,804,1146,3940,30451,662,479,2982,18515,3072,39961,369,7821,180,4546,1183,22094,257,8125,2247,6164,988,481,13605,74,268,30562,222,1457,244,15,380,730,111,14225,2520,6584,497,28213,311,20581,93,7187,413,2846,232,7,467,9844,194,2840,811,9281,1076,44753,2218,17393,537,6603,238,17282,1430,7070,869,437,162,11525,178,18505,209,3253,200,115,10,18412,1628,788,129,14131,99,16299,2604,16545,800,2052,307,15743,2724,1470,677,10827,8752,5633,424,7141,1776,4965,91,22,3494,3691,1299,8486,1996,14781,554,7929,159,17356,3256,15476,2297,10960,576,7214,895,2579,4912,8347,1274,894,1560,4072,120,586,102,3333,1620,2215,1379,35952,10625,1825,926,32948,492,50020,580
Muribaculum,201,0,8,11,15,5,0,20,119,15,10,8,53,44,53,65,0,0,55,116,604,29,0,0,481,41,1075,0,25,0,45,22,494,0,95,35,113,22,0,351,0,0,305,0,134,0,0,0,0,0,0,34,0,0,0,0,488,0,108,0,0,0,0,0,38,0,51,0,58,0,788,70,75,0,20,0,646,273,70,13,0,0,140,0,97,0,52,0,0,0,442,56,0,0,467,0,239,0,238,0,212,0,120,17,0,0,280,285,39,0,85,9,22,0,0,0,11,0,80,0,116,0,0,0,174,9,155,0,180,8,67,0,122,58,51,23,15,0,13,0,0,0,105,150,0,0,990,326,29,0,253,0,26,0
Odoribacter,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,162,0,0,0,0,0,0,0,0
Oligella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0
Oscillibacter,0,0,0,0,9,0,0,0,28,0,0,0,0,132,0,67,0,0,180,267,24,29,0,113,66,109,0,0,11,0,0,128,27,0,0,0,0,87,24,748,0,0,2,0,106,45,0,0,0,0,0,0,0,31,37,0,0,0,0,26,0,0,0,20,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,13,13,0,0,44,6,25,45,0,0,0,71,4,64,50,119,0,0,45,18,0,0,0,0,0,46,4,0,0,0,0,0,0,0,4,15,0,0,48,4,7,0,57,413,0,0,0,18,0,0,0,0,0,0,7,0,6,227,7,0,29,0,17,0
Oscillospiraceae1,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,47,80,0,21,0,0,0,24,0,0,0,0,39,43,0,0,0,0,0,0,0,189,0,0,0,0,53,50,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,115,0,0,0,0,3,0,14,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,9,0,0,0,0,0,0,0,0,24,0,0,23,6,0,0,0
Oscillospiraceae2,0,0,0,4,0,0,4,185,13,67,0,0,4,464,13,10,0,8,418,778,33,36,0,206,113,458,27,0,12,0,2,439,5,0,59,20,4,663,33,2591,14,15,11,0,363,81,0,0,0,0,15,0,8,173,40,0,0,2,0,98,0,0,0,0,0,2,0,0,4,0,53,206,35,0,24,0,12,45,0,28,0,0,0,0,0,0,10,0,0,0,106,35,0,64,0,0,143,330,5,0,0,0,5,115,86,54,0,0,0,81,0,0,0,0,0,87,0,0,0,3,0,0,0,0,14,49,0,0,120,68,0,0,54,644,26,0,0,69,0,0,0,0,0,0,46,0,31,162,0,0,39,0,39,0
Peptococcaceae1,7,0,0,0,0,0,0,16,0,0,0,0,0,47,0,0,0,0,11,76,7,0,0,0,12,0,42,0,7,0,0,33,0,0,0,0,0,11,0,159,0,0,0,0,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,217,7,0,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,22,0,0,0,0,0,15,52,0,0,0,0,2,0,95,85,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,6,0,100,0,0,0,0,21,0,0,0,2,0,0,29,60,0,0,0,0,10,0
