,403_IC,403_IL,405_IC,405_IL,407_IC,407_IL,408_IC,408_IL,411_IC,411_IL,412_IC,412_IL,414_IC,414_IL,420_IC,420_IL,425_IC,425_IL,427_IC,427_IL,428_IC,428_IL,431_IC,431_IL,432_IC,432_IL,433_IC,433_IL,437_IC,437_IL,438_IC,438_IL,439_IC,439_IL,444_IC,444_IL,449_IC,449_IL,450_IC,450_IL,451_IC,451_IL,452_IC,452_IL,456_IC,456_IL,459_IC,459_IL,461_IC,461_IL,463_IC,463_IL,464_IC,464_IL,465_IC,465_IL,466_IC,466_IL,471_IC,471_IL,472_IC,472_IL,475_IC,475_IL,476_IC,476_IL,478_IC,478_IL,481_IC,481_IL,482_IC,482_IL,484_IC,484_IL,485_IC,485_IL,489_IC,489_IL,495_IC,495_IL,500_IC,500_IL,505_IC,505_IL,509_IC,509_IL,510_IC,510_IL,515_IC,515_IL,517_IC,517_IL,518_IC,518_IL,519_IC,519_IL,521_IC,521_IL,522_IC,522_IL,524_IC,524_IL,528_IC,528_IL,532_IC,532_IL,534_IC,534_IL,535_IC,535_IL,536_IC,536_IL,538_IC,538_IL,541_IC,541_IL,542_IC,542_IL,547_IC,547_IL,548_IC,548_IL,549_IC,549_IL,553_IC,553_IL,555_IC,555_IL,562_IC,562_IL,564_IC,564_IL,568_IC,568_IL,571_IC,571_IL,572_IC,572_IL,573_IC,573_IL,577_IC,577_IL,578_IC,578_IL,579_IC,579_IL,580_IC,580_IL,584_IC,584_IL,590_IC,590_IL,592_IC,592_IL
Comamonadaceae,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acholeplasmataceae,0,22,0,10,12,7,0,0,0,0,0,0,0,197,0,0,0,0,17,197,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,4,0,0,0,19,0,0,21,0,0,0,0,0,0,87,0,0,0,8,0,0,6,585,0,0,0,0,0,2,0,118,0,42,0,0,0,4,0,0,0,0,0,0,0,0,0,39,0,6,0,0,0,0,0,0,0,0,0,0,0,51,0,0,39,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,17,0,21,0,0,2,0,0,5,0,24,0,0,0,0,28,58,0,0,0,0,0,0,0,15,0,0,0,0,0,0,430,0
Rikenellaceae,16,100,0,5,0,0,0,18,3,0,0,0,0,102,0,682,7,0,33,422,5,4,11,39,7,403,0,33,0,0,0,0,0,9,3,21,0,31,10,563,594,1022,3,26,4,0,0,6,0,0,0,5,5,27,0,0,8,225,0,2,3,0,0,0,10,109,0,75,0,0,4,59,0,0,4,0,0,0,0,0,0,180,3,25,0,0,0,10,0,0,0,0,0,121,0,103,2,52,300,8,3,0,3,46,2,85,0,476,7,17,5,0,2,5,0,0,0,30,0,0,3,0,0,128,0,0,0,0,15,29,4,76,0,20,2,7,102,310,4,4,0,0,0,0,0,30,5,0,0,0,0,0,756,0
Pseudomonadaceae,4,50,0,34,3,12,0,9,6,0,0,6,0,0,0,6,7,3,0,5,0,0,9,3,0,16,10,9,0,10,6,32,0,44,0,10,0,6,13,9,0,8,0,42,10,7,10,11,10,3,0,0,0,9,82,16,0,0,0,14,0,6,0,13,0,8,0,0,4,0,0,6,6,9,6,0,3,11,0,8,0,0,0,15,0,7,0,24,2,6,5,11,12,10,0,8,0,0,7,11,8,9,7,15,9,13,5,7,11,12,0,9,13,6,0,0,5,12,0,0,0,7,8,5,32,8,7,8,98,9,0,0,0,70,0,6,5,8,10,24,0,14,0,70,0,0,0,9,0,0,0,24,9,21
Xanthomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obscuribacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,22,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderiaceae,2,42,0,25,0,144,0,7,0,0,0,6,0,0,0,11,0,7,0,0,0,0,0,9,0,135,0,57,0,51,0,32,0,47,0,8,0,0,0,18,0,0,0,9,0,10,0,24,0,28,0,12,0,5,0,20,0,0,0,6,0,29,0,14,0,39,0,0,0,8,0,12,0,50,0,0,0,69,0,15,0,46,0,24,0,19,0,32,0,44,0,46,0,15,0,0,0,62,0,15,0,28,0,27,0,33,0,35,0,23,0,78,0,4,0,4,0,69,0,5,0,42,0,18,0,22,0,74,0,6,0,15,0,62,0,32,0,6,0,25,0,0,0,93,0,7,0,84,0,0,9,0,0,4
Erysipelatoclostridiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,10,3,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2,0,0,0,0,6,0,15,0,0,0,0,0,8,0
Monoglobaceae,8,0,23,0,0,0,0,0,0,0,0,0,0,7,3,11,0,0,26,37,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,10,0,0,7,0,11,3,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,12,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,4,0,10,0,0,0,33,18
Moraxellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
